Player,Salary,Team
A.J. Hammons,650000.00,DAL
Aaron Brooks,2700000.00,IND
Aaron Gordon,4351320.00,ORL
Aaron Gray,452059.00,DET
Aaron Harrison,375579.00,CHA
Adreian Payne,2022240.00,MIN
Al Horford,26540100.00,BOS
Al Jefferson,10230179.00,IND
Alan Anderson,1315448.00,LAC
Alan Williams,874636.00,PHO
Alec Burks,10154495.00,UTA
Alex Abrines,5994764.00,OKC
Alex Caruso,50000.00,OKC
Alex Len,4823621.00,PHO
Alex Poythress,38903.00,PHI
Alex Poythress,35381.00,IND
Alexis Ajinca,4600000.00,NOH
Al-Farouq Aminu,7680965.00,POR
Allen Crabbe,18500000.00,POR
Alonzo Gee,1400000.00,NOH
Alonzo Gee,495227.00,DEN
Amir Johnson,12000000.00,BOS
Anderson Varejao,1984005.00,POR
Anderson Varejao,1551659.00,GSW
Andre Drummond,22116750.00,DET
Andre Iguodala,11131368.00,GSW
Andre Roberson,2183072.00,OKC
Andrea Bargnani,323599.00,NJN
Andrew Bogut,11027027.00,PHI
Andrew Bogut,242224.00,CLE
Andrew Harrison,945000.00,MEM
Andrew Nicholson,6088993.00,NJN
Andrew Wiggins,6006600.00,MIN
Anthony Bennett,1015696.00,NJN
Anthony Brown,874636.00,LAL
Anthony Brown,108043.00,NOH
Anthony Brown,51449.00,ORL
Anthony Davis,22116750.00,NOH
Anthony Morrow,3488000.00,CHI
Anthony Tolliver,8000000.00,SAC
Archie Goodwin,2094089.00,PHO
Archie Goodwin,194494.00,NJN
Archie Goodwin,95600.00,NOH
Arinze Onuaku,440078.00,ORL
Aron Baynes,6500000.00,DET
Arron Afflalo,12500000.00,SAC
Austin Rivers,11000000.00,LAC
Avery Bradley,8269663.00,BOS
Axel Toupane,51449.00,MIL
Axel Toupane,20580.00,NOH
Beau Beech,45000.00,NJN
Ben Bentil,250000.00,BOS
Ben Bentil,50000.00,IND
Ben Bentil,31969.00,DAL
Ben McLemore,4008882.00,SAC
Ben Simmons,5903160.00,PHI
Beno Udrih,1551659.00,DET
Bismack Biyombo,17000000.00,ORL
Blake Griffin,20140838.00,LAC
Boban Marjanovic,7000000.00,DET
Bobby Brown,934293.00,HOU
Bobby Portis,1453680.00,CHI
Bojan Bogdanovic,3730653.00,WAS
Boris Diaw,7000000.00,UTA
Bradley Beal,22116750.00,WAS
Brady Heslip,56500.00,TOR
Brandan Wright,5700000.00,MEM
Brandon Bass,1551659.00,LAC
Brandon Ingram,5281680.00,LAL
Brandon Jennings,4837318.00,NYK
Brandon Jennings,1200000.00,WAS
Brandon Knight,12606250.00,PHO
Brandon Paul,155000.00,PHI
Brandon Rush,3500000.00,MIN
Brian Roberts,1050961.00,CHA
Briante Weber,328000.00,MIA
Briante Weber,231521.00,CHA
Briante Weber,102898.00,GSW
Brice Johnson,1273920.00,LAC
Brook Lopez,21165675.00,NJN
Bruno Caboclo,1589640.00,TOR
Bryn Forbes,543471.00,SAS
Buddy Hield,3517200.00,SAC
C.J. McCollum,3219579.00,POR
C.J. Miles,4583450.00,IND
C.J. Watson,5000000.00,ORL
C.J. Wilcox,1209680.00,ORL
Cameron Jones,50000.00,GSW
Cameron Payne,2112480.00,CHI
Caris LeVert,1562280.00,NJN
Carl Landry,6500000.00,PHI
Carlos Delfino,650000.00,LAC
Carmelo Anthony,24559380.00,NYK
Caron Butler,517220.00,SAC
Cat Barber,50000.00,PHI
Chandler Parsons,22116750.00,MEM
Channing Frye,7806971.00,CLE
Chasson Randle,297311.00,PHI
Chasson Randle,243860.00,NYK
Cheick Diallo,543471.00,NOH
Chinanu Onuaku,543471.00,HOU
Chris Andersen,1551659.00,CHA
Chris Bosh,23741060.00,MIA
Chris McCullough,1191480.00,WAS
Chris Paul,22868827.00,LAC
Chris Wright,100000.00,OKC
Christian Wood,874636.00,CHA
Cliff Alexander,51449.00,NJN
Clint Capela,1296240.00,HOU
Cody Zeller,5318313.00,CHA
Cole Aldrich,7643979.00,MIN
Corey Brewer,7600000.00,LAL
Cory Joseph,7330000.00,TOR
Courtney Lee,11242000.00,NYK
Cristiano Felicio,874636.00,CHI
D.J. Augustin,7250000.00,ORL
D.J. Kennedy,50000.00,DEN
D.J. Stephens,35000.00,MEM
D\'Angelo Russell,5332800.00,LAL
Dahntay Jones,24022.00,CLE
Damian Jones,1171560.00,GSW
Damian Lillard,24328425.00,POR
Damion Lee,50000.00,BOS
Damjan Rudez,980431.00,ORL
Daniel Ochefu,543471.00,WAS
Danilo Gallinari,15050000.00,DEN
Danny Green,10000000.00,SAS
Dante Cunningham,2978250.00,NOH
Dante Exum,3940320.00,UTA
Danuel House,543471.00,WAS
Dario Saric,2318280.00,PHI
Darrell Arthur,8070175.00,DEN
Darren Collison,5229454.00,SAC
Darrun Hilliard,874636.00,DET
David Lee,1551659.00,SAS
David Nwaba,137466.00,LAL
David West,1551659.00,GSW
Davis Bertans,543471.00,SAS
DeAndre Jordan,21165675.00,LAC
DeAndre Liggins,1015696.00,DAL
DeAndre\' Bembry,1499760.00,ATL
Dejounte Murray,1180080.00,SAS
Delon Wright,1577280.00,TOR
DeMar DeRozan,26540100.00,TOR
DeMarcus Cousins,16957900.00,NOH
DeMarre Carroll,14200000.00,TOR
Demetrius Jackson,1450000.00,BOS
Dennis Schroder,2708582.00,ATL
Denzel Valentine,2092200.00,CHI
Deron Williams,9000000.00,DAL
Deron Williams,5500000.00,NJN
Deron Williams,259626.00,CLE
Derrick Favors,11050000.00,UTA
Derrick Jones,543471.00,PHO
Derrick Rose,21323250.00,NYK
Derrick Williams,4598000.00,MIA
Derrick Williams,402043.00,CLE
Devin Booker,2223600.00,PHO
Devin Harris,4228000.00,DAL
Dewayne Dedmon,2898000.00,SAS
Deyonta Davis,1369229.00,MEM
Diamond Stone,543471.00,LAC
Dion Waiters,2898000.00,MIA
Dionte Christmas,50000.00,PHI
Dirk Nowitzki,25000000.00,DAL
Domantas Sabonis,2440200.00,OKC
Donatas Motiejunas,576724.00,NOH
Dorian Finney-Smith,543471.00,DAL
Doug McDermott,2483040.00,OKC
Dragan Bender,4276320.00,PHO
Draymond Green,15330435.00,GSW
Dwight Howard,23180275.00,ATL
Dwight Powell,8375000.00,DAL
Dwyane Wade,23200000.00,CHI
E.J. Singler,50000.00,TOR
E\'Twaun Moore,8081363.00,NOH
Ed Davis,6666667.00,POR
Edy Tavares,1000000.00,ATL
Edy Tavares,5145.00,CLE
Egidijus Mockevicius,100000.00,NJN
Elfrid Payton,2613600.00,ORL
Elgin Cook,50000.00,GSW
Elijah Millsap,23069.00,PHO
Elliot Williams,250000.00,GSW
Elton Brand,1000000.00,PHI
Emmanuel Mudiay,3241800.00,DEN
Enes Kanter,17145838.00,OKC
Eric Bledsoe,14000000.00,PHO
Eric Gordon,12385364.00,HOU
Ersan Ilyasova,8400000.00,ATL
Evan Fournier,17000000.00,ORL
Evan Turner,16393443.00,POR
Festus Ezeli,7400000.00,POR
Frank Kaminsky,2730000.00,CHA
Fred VanVleet,543471.00,TOR
Gal Mekel,315760.00,DAL
Garrett Temple,8000000.00,SAC
Gary Harris,1655880.00,DEN
Gary Neal,72193.00,ATL
Gary Payton,543471.00,HOU
Gary Payton,35166.00,MIL
George Hill,8000000.00,UTA
Georges Niang,650000.00,IND
Georgios Papagiannis,2202240.00,SAC
Gerald Green,1410598.00,BOS
Gerald Henderson,9000000.00,PHI
Giannis Antetokounmpo,2995421.00,MIL
Glenn Robinson,1050500.00,IND
Goran Dragic,15890000.00,MIA
Gordon Hayward,16073140.00,UTA
Gorgui Dieng,2348783.00,MIN
Greg Monroe,17100000.00,MIL
Greivis Vasquez,4347826.00,NJN
Harrison Barnes,22116750.00,DAL
Hassan Whiteside,22116750.00,MIA
Henry Ellenson,1704120.00,DET
Henry Sims,75000.00,UTA
Hollis Thompson,442126.00,PHI
Hollis Thompson,119494.00,NOH
Ian Clark,1015696.00,GSW
Ian Mahinmi,15944154.00,WAS
Iman Shumpert,9700000.00,CLE
Isaiah Canaan,1015696.00,CHI
Isaiah Cousins,100000.00,SAC
Isaiah Taylor,305000.00,HOU
Isaiah Thomas,6587132.00,BOS
Isaiah Whitehead,1074145.00,NJN
Ish Smith,6000000.00,DET
Ivica Zubac,1034956.00,LAL
J.J. Barea,4096950.00,DAL
J.J. Redick,7377500.00,LAC
J.P. Tokoto,100000.00,NYK
J.R. Smith,12800000.00,CLE
Jabari Parker,5374320.00,MIL
Jae Crowder,6286408.00,BOS
Jahlil Okafor,4788840.00,PHI
Jake Layman,600000.00,POR
Jakob Poeltl,2703960.00,TOR
Jalen Jones,25000.00,BOS
Jamal Crawford,13253012.00,LAC
Jamal Murray,3210840.00,DEN
Jameel Warney,20000.00,DAL
Jameer Nelson,4540525.00,DEN
James Ennis,2898000.00,MEM
James Harden,26540100.00,HOU
James Johnson,4000000.00,MIA
James Jones,1551659.00,CLE
James Michael McAdoo,980431.00,GSW
James Webb,65000.00,PHI
James Young,1825200.00,BOS
JaMychal Green,980431.00,MEM
Jared Dudley,10470000.00,PHO
Jared Sullinger,5628000.00,PHO
Jarell Eddie,175000.00,WAS
Jarell Eddie,102898.00,PHO
Jarell Martin,1286160.00,MEM
Jarnell Stokes,150000.00,DEN
Jarrett Jack,1551659.00,ATL
Jarrett Jack,500000.00,NJN
Jarrett Jack,91274.00,NOH
Jarrod Uthoff,63938.00,DAL
Jarrod Uthoff,50000.00,TOR
Jason Smith,5000000.00,WAS
Jason Terry,1551659.00,MIL
Jason Thompson,945126.00,GSW
JaVale McGee,1403611.00,GSW
Jaylen Brown,4743000.00,BOS
Jeff Green,15000000.00,ORL
Jeff Teague,8800000.00,IND
Jeff Withey,1015696.00,UTA
Jerami Grant,980431.00,OKC
Jeremy Evans,1227286.00,IND
Jeremy Lamb,6511628.00,CHA
Jeremy Lin,11483254.00,NJN
Jerian Grant,1643040.00,CHI
Jerryd Bayless,9424084.00,PHI
Jimmy Butler,17552209.00,CHI
Joakim Noah,17000000.00,NYK
Jodie Meeks,6540000.00,ORL
Joe Harris,980431.00,NJN
Joe Ingles,2250000.00,UTA
Joe Johnson,11000000.00,UTA
Joe Young,1052342.00,IND
Joel Anthony,663810.00,SAS
Joel Bolomboy,600000.00,UTA
Joel Embiid,4826160.00,PHI
Joffrey Lauvergne,1709720.00,CHI
John Henson,12517606.00,MIL
John Jenkins,469841.00,PHO
John Lucas III,635753.00,MIN
John Wall,16957900.00,WAS
Johnny O\'Bryant,276827.00,CHA
Johnny O\'Bryant,115344.00,DEN
Jon Leuer,10991957.00,DET
Jonas Jerebko,5000000.00,BOS
Jonas Valanciunas,14382022.00,TOR
Jonathan Gibson,680937.00,DAL
Jonathon Simmons,874636.00,SAS
Jordan Adams,1465080.00,MEM
Jordan Clarkson,12500000.00,LAL
Jordan Crawford,234915.00,NOH
Jordan Farmar,510921.00,LAC
Jordan Farmar,82979.00,SAC
Jordan Hill,3911380.00,MIN
Jordan McRae,874636.00,CLE
Jordan Mickey,1223653.00,BOS
Jose Calderon,7708427.00,LAL
Jose Calderon,392478.00,ATL
Josh Huestis,1191480.00,OKC
Josh McRoberts,5782450.00,MIA
Josh Richardson,874636.00,MIA
Josh Smith,5400000.00,DET
Jrue Holiday,11286518.00,NOH
Juan Hernangomez,1987440.00,DEN
Julius Randle,3267120.00,LAL
Julyan Stone,50000.00,IND
Justin Anderson,1514160.00,PHI
Justin Hamilton,3000000.00,NJN
Justin Harper,57672.00,PHI
Justin Holiday,1015696.00,NYK
Justise Winslow,2593440.00,MIA
Jusuf Nurkic,1921320.00,POR
K.J. McDaniels,3333333.00,NJN
Kaleb Tarczewski,75000.00,OKC
Karl-Anthony Towns,5960160.00,MIN
Kawhi Leonard,17638063.00,SAS
Kay Felder,543471.00,CLE
Keith Benson,75000.00,MIA
Kelly Olynyk,3094014.00,BOS
Kelly Oubre,2006640.00,WAS
Kemba Walker,12000000.00,CHA
Kenneth Faried,12078652.00,DEN
Kent Bazemore,15730338.00,ATL
Kentavious Caldwell-Pope,3678319.00,DET
Kevin Durant,26540100.00,GSW
Kevin Garnett,8000000.00,MIN
Kevin Love,21165675.00,CLE
Kevin Martin,1360305.00,MIN
Kevin Seraphin,1800000.00,IND
Kevon Looney,1182840.00,GSW
Khris Middleton,15200000.00,MIL
Klay Thompson,16663575.00,GSW
Kosta Koufos,8046500.00,SAC
Kris Dunn,3872520.00,MIN
Kris Humphries,4000000.00,ATL
Kristaps Porzingis,4317720.00,NYK
Kyle Anderson,1192080.00,SAS
Kyle Collinsworth,70000.00,DAL
Kyle Korver,5239437.00,CLE
Kyle Lowry,12000000.00,TOR
Kyle O\'Quinn,3900000.00,NYK
Kyle Singler,4837500.00,OKC
Kyrie Irving,17638063.00,CLE
Lamar Patterson,128623.00,ATL
Lamar Patterson,100000.00,SAC
LaMarcus Aldridge,20575005.00,SAS
Lance Stephenson,4000000.00,IND
Lance Stephenson,1227286.00,NOH
Lance Stephenson,144386.00,MIN
Lance Thomas,6191000.00,NYK
Langston Galloway,5200000.00,SAC
Larry Nance Jr.,1207680.00,LAL
Larry Sanders,1865547.00,MIL
Larry Sanders,207722.00,CLE
Lavoy Allen,4000000.00,IND
Leandro Barbosa,4000000.00,PHO
LeBron James,30963450.00,CLE
Livio Jean-Charles,1188840.00,SAS
Lou Amundson,1551659.00,NYK
Lou Williams,7000000.00,HOU
Luc Mbah a Moute,2203000.00,LAC
Lucas Nogueira,1921320.00,TOR
Luis Scola,5000000.00,NJN
Luke Babbitt,1227000.00,MIA
Luol Deng,18000000.00,LAL
Malachi Richardson,1439880.00,SAC
Malcolm Brogdon,925000.00,MIL
Malcolm Delaney,2500000.00,ATL
Malik Beasley,1627320.00,DEN
Manny Harris,119494.00,DAL
Manu Ginobili,14000000.00,SAS
Marc Gasol,21165675.00,MEM
Marcelo Huertas,1500000.00,HOU
Marcin Gortat,12000000.00,WAS
Marco Belinelli,6333333.00,CHA
Marcus Georges-Hunt,31969.00,MIA
Marcus Georges-Hunt,31969.00,ORL
Marcus Georges-Hunt,25000.00,BOS
Marcus Morris,4625000.00,DET
Marcus Paige,125000.00,UTA
Marcus Smart,3578880.00,BOS
Marcus Thornton,1315448.00,NJN
Mario Hezonja,3909840.00,ORL
Markieff Morris,7400000.00,WAS
Marquese Chriss,2941440.00,PHO
Marreese Speights,1403611.00,LAC
Marshall Plumlee,543471.00,NYK
Martell Webster,830000.00,WAS
Marvin Williams,12250000.00,CHA
Mason Plumlee,2328530.00,DEN
Matt Barnes,6125000.00,SAC
Matt Barnes,383351.00,GSW
Matt Costello,50000.00,ATL
Matt Costello,31500.00,MEM
Matthew Dellavedova,9607500.00,MIL
Maurice Harkless,8988764.00,POR
Maurice Ndour,543471.00,NYK
Maurice Ndour,437318.00,DAL
Metta World Peace,1551659.00,LAL
Meyers Leonard,9213484.00,POR
Michael Beasley,1403611.00,MIL
Michael Beasley,777777.00,PHO
Michael Carter-Williams,3183526.00,CHI
Michael Gbinije,650000.00,DET
Michael Kidd-Gilchrist,13000000.00,CHA
Mike Conley,26540100.00,MEM
Mike Dunleavy,4837500.00,ATL
Mike Miller,3500000.00,DEN
Mike Muscala,1015696.00,ATL
Mike Scott,3333334.00,PHO
Mike Tobey,138938.00,CHA
Miles Plumlee,12500000.00,MIL
Mindaugas Kuzminskas,2898000.00,NYK
Miroslav Raduljica,300000.00,LAC
Mirza Teletovic,10500000.00,MIL
Mitch McGary,1526040.00,OKC
Mo Williams,2200000.00,DEN
Monta Ellis,10770000.00,IND
Montrezl Harrell,1045000.00,HOU
Myles Turner,2463840.00,IND
Nate Wolters,50000.00,DEN
Nemanja Bjelica,3800000.00,MIN
Nene Hilario,2898000.00,HOU
Nerlens Noel,4384490.00,DAL
Nick Collison,3750000.00,OKC
Nick Johnson,980431.00,DEN
Nick Young,5443918.00,LAL
Nick Zeisloft,25000.00,IND
Nicolas Batum,20869566.00,CHA
Nicolas Brussino,543471.00,DAL
Nicolas Laprovittola,210995.00,SAS
Nik Stauskas,2993040.00,PHI
Nikola Jokic,1358500.00,DEN
Nikola Jovanovic,30000.00,DET
Nikola Mirotic,5782450.00,CHI
Nikola Pekovic,12100000.00,MIN
Nikola Vucevic,11750000.00,ORL
Noah Vonleh,2751360.00,POR
Norman Powell,874636.00,TOR
Norris Cole,247991.00,OKC
Okaro White,374933.00,MIA
Omer Asik,9904494.00,NOH
Omri Casspi,3000000.00,NOH
Omri Casspi,138414.00,MIN
Otto Porter,5893981.00,WAS
P.J. Hairston,11534.00,HOU
P.J. Tucker,5300000.00,TOR
Pablo Prigioni,1050961.00,HOU
Pascal Siakam,1196040.00,TOR
Pat Connaughton,874636.00,POR
Patricio Garino,100000.00,SAS
Patricio Garino,31969.00,ORL
Patrick Beverley,6000000.00,HOU
Patrick McCaw,543471.00,GSW
Patrick Patterson,6050000.00,TOR
Patty Mills,3578948.00,SAS
Pau Gasol,15500000.00,SAS
Paul George,18314532.00,IND
Paul Millsap,20072033.00,ATL
Paul Pierce,3500000.00,LAC
Paul Zipser,750000.00,CHI
Phil Pressey,35000.00,GSW
Pierre Jackson,105498.00,DAL
Prince Ibeh,31969.00,NJN
Quincy Acy,1914544.00,NJN
Quincy Acy,1050961.00,DAL
Quincy Ford,75000.00,UTA
Quincy Pondexter,3617978.00,NOH
Quinn Cook,79922.00,NOH
Quinn Cook,31969.00,DAL
R.J. Hunter,1200240.00,BOS
R.J. Hunter,425000.00,CHI
Rajon Rondo,14000000.00,CHI
Rakeem Christmas,1052342.00,IND
Ramon Sessions,6000000.00,CHA
Randy Foye,2500000.00,NJN
Rashad Vaughn,1811040.00,MIL
Raul Neto,937800.00,UTA
Ray McCallum,119494.00,CHA
Ray McCallum,11949.00,DET
Raymond Felton,1551659.00,LAC
Reggie Bullock,2255644.00,DET
Reggie Jackson,14956522.00,DET
Reggie Williams,252676.00,NOH
Reggie Williams,50000.00,OKC
Richard Jefferson,2500000.00,CLE
Richaun Holmes,1025831.00,PHI
Ricky Rubio,13550000.00,MIN
Robbie Hummel,150000.00,DEN
Robert Covington,1015696.00,PHI
Robin Lopez,13219250.00,CHI
Rodney Hood,1406520.00,UTA
Rodney McGruder,543471.00,MIA
Rodney Stuckey,7000000.00,IND
Ron Baker,543471.00,NYK
Rondae Hollis-Jefferson,1395600.00,NJN
Ronnie Price,2557545.00,OKC
Ronnie Price,465143.00,PHO
Roy Hibbert,5000000.00,DEN
Rudy Gay,13333333.00,SAC
Rudy Gobert,2121288.00,UTA
Russell Westbrook,26540100.00,OKC
Ryan Anderson,18735364.00,HOU
Ryan Arcidiacono,75000.00,SAS
Ryan Kelly,418228.00,ATL
Salah Mejri,874636.00,DAL
Sam Dekker,1720560.00,HOU
Sasha Kaun,1333420.00,PHI
Sasha Vujacic,1410598.00,NYK
Scott Wood,50000.00,GSW
Sean Kilpatrick,980431.00,NJN
Semaj Christon,543471.00,OKC
Serge Ibaka,12250000.00,TOR
Sergio Rodriguez,8000000.00,PHI
Seth Curry,2898000.00,DAL
Shabazz Muhammad,3046299.00,MIN
Shabazz Napier,1350120.00,POR
Shaun Livingston,5782450.00,GSW
Shawn Long,96969.00,PHI
Sheldon McClellan,543471.00,WAS
Shelvin Mack,2433334.00,UTA
Skal Labissiere,1188840.00,SAC
Solomon Hill,11241218.00,NOH
Spencer Dinwiddie,726672.00,NJN
Spencer Hawes,6348759.00,MIL
Stanley Johnson,2969880.00,DET
Stefan Jankovic,100000.00,MIA
Stephen Curry,12112359.00,GSW
Stephen Zimmerman,950000.00,ORL
Steve Novak,1551659.00,MIL
Steven Adams,3140517.00,OKC
T.J. McConnell,874636.00,PHI
T.J. Warren,2128920.00,PHO
Taj Gibson,8950000.00,OKC
Tarik Black,6191000.00,LAL
Taurean Waller-Prince,2318280.00,ATL
Terrence Jones,1050961.00,NOH
Terrence Jones,236457.00,MIL
Terrence Ross,10000000.00,ORL
Terry Rozier,1906440.00,BOS
Thabo Sefolosha,3850000.00,ATL
Thaddeus Young,14153652.00,IND
Thomas Robinson,1050961.00,LAL
Thomas Walkup,69500.00,CHI
Thon Maker,2568600.00,MIL
Tiago Splitter,8550000.00,PHI
Tibor Pleiss,3000000.00,PHI
Tim Duncan,1881250.00,SAS
Tim Frazier,2090000.00,NOH
Tim Hardaway,2281605.00,ATL
Timofey Mozgov,16000000.00,LAL
Timothe Luwawu-Cabarrot,1326960.00,PHI
Tobias Harris,17200000.00,DET
Tomas Satoransky,2870813.00,WAS
Toney Douglas,603558.00,MEM
Tony Allen,5505618.00,MEM
Tony Parker,14445313.00,SAS
Tony Snell,2368327.00,MIL
Tony Wroten,25000.00,MEM
Treveon Graham,543471.00,CHA
Trevor Ariza,7806971.00,HOU
Trevor Booker,9250000.00,NJN
Trey Burke,3386598.00,WAS
Trey Lyles,2340600.00,UTA
Tristan Thompson,15330435.00,CLE
Troy Daniels,3332940.00,MEM
Troy Williams,543471.00,MEM
Troy Williams,181969.00,HOU
Ty Lawson,1315448.00,SAC
Tyler Ennis,1733880.00,LAL
Tyler Johnson,5628000.00,MIA
Tyler Ulis,918369.00,PHO
Tyler Zeller,8000000.00,BOS
Tyreke Evans,10661286.00,SAC
Tyson Chandler,12415000.00,PHO
Tyus Jones,1339680.00,MIN
Udonis Haslem,4000000.00,MIA
Victor Oladipo,6552960.00,OKC
Vince Carter,4264057.00,MEM
Wade Baldwin,1793760.00,MEM
Wayne Ellington,6000000.00,MIA
Wayne Ellington,923670.00,SAC
Wayne Selden,83119.00,MEM
Wayne Selden,31969.00,NOH
Wesley Johnson,5628000.00,LAC
Wesley Matthews,17100000.00,DAL
Will Barton,3533333.00,DEN
Willie Cauley-Stein,3551160.00,SAC
Willie Reed,1015696.00,MIA
Willy Hernangomez,1375000.00,NYK
Wilson Chandler,11200000.00,DEN
Yanick Moreira,50000.00,TOR
Yi Jianlian,250000.00,LAL
Yogi Ferrell,239767.00,DAL
Yogi Ferrell,202300.00,NJN
Zach Auguste,60000.00,LAL
Zach LaVine,2240880.00,MIN
Zach Randolph,10361445.00,MEM
Zaza Pachulia,2898000.00,GSW
