Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Kristaps Porzingis,PF,21,NYK,66,65,2164,17.4,0.256,11.8,7.3,24.3,2.4,2.1,4.5,0.1,1.2,985,0.45,0.357,0.507,475,97,47,130,1196
Dwight Powell,C,25,DAL,77,3,1333,17.6,0.374,13.3,6.1,16.7,2.7,1.9,4.6,0.165,1.2,377,0.515,0.284,0.542,306,49,61,39,516
Norman Powell,SG,23,TOR,76,18,1368,14,0.314,6.9,9.3,21.1,1.4,1.4,2.8,0.097,0.2,506,0.449,0.324,0.504,168,82,51,14,636
Alex Poythress,PF,23,PHI,6,1,157,13.2,0.185,10.2,5.1,16.9,0.2,0.1,0.3,0.099,0,54,0.463,0.316,0.519,29,5,3,2,64
Ronnie Price,PG,33,PHO,14,0,134,5.9,0.167,4.5,16.9,9,-0.1,0.1,0,0.002,0,24,0.167,0.176,0.229,11,18,11,1,14
Tim Quarterman,SG,22,POR,16,0,80,10.2,0.103,9.7,21.1,22.8,-0.1,0.1,-0.1,-0.044,-0.1,29,0.448,0.385,0.534,14,11,2,3,31
Chasson Randle,PG,23,TOT,26,0,299,13.6,0.439,5.8,16.8,19.7,0.5,0.1,0.7,0.106,0,98,0.408,0.34,0.49,32,34,9,2,137
Chasson Randle,PG,23,PHI,8,0,74,17.7,0.462,3.7,13.2,20.1,0.2,0.1,0.3,0.197,0,26,0.462,0.4,0.577,5,6,3,1,42
Chasson Randle,PG,23,NYK,18,0,225,12.3,0.431,6.5,18,19.6,0.3,0.1,0.4,0.075,-0.1,72,0.389,0.313,0.458,27,28,6,1,95
Julius Randle,PF,22,LAL,74,73,2132,16.3,0.365,16.3,19.3,21.4,2,1.5,3.5,0.08,1.1,773,0.488,0.27,0.499,636,264,49,37,975
Zach Randolph,PF,35,MEM,73,5,1786,18.5,0.2,19.1,13.5,29.2,0.8,2.4,3.2,0.086,0,964,0.449,0.223,0.46,598,122,38,10,1028
J.J. Redick,SG,32,LAC,78,78,2198,14.8,0.227,4.3,7.8,21.9,3.3,1.5,4.8,0.105,1.1,890,0.445,0.429,0.558,171,110,55,13,1173
Willie Reed,C,26,MIA,71,5,1031,17.1,0.309,17.8,3.9,15.3,2.1,1.5,3.6,0.168,0.4,285,0.568,0.25,0.57,332,26,18,47,374
Josh Richardson,SG,23,MIA,53,34,1614,10.7,0.15,5.8,12.7,16.8,0.3,1.9,2.2,0.066,0.9,513,0.394,0.33,0.467,168,140,60,39,539
Malachi Richardson,SG,21,SAC,22,0,198,9.6,0.279,6.7,8.7,19.3,0,0.1,0.1,0.028,-0.2,68,0.412,0.286,0.471,23,11,5,1,79
Austin Rivers,SG,24,LAC,74,29,2054,11.4,0.261,4.4,15,20.3,1.2,1.3,2.5,0.059,0.2,731,0.442,0.371,0.518,161,204,48,10,889
Andre Roberson,SF,25,OKC,79,79,2376,9.6,0.24,9.4,4.6,10.1,1.1,3.1,4.2,0.085,1.2,463,0.464,0.245,0.513,402,79,94,79,522
Brian Roberts,PG,31,CHO,41,2,416,9.8,0.32,5.2,18.7,17.9,0,0.3,0.2,0.028,-0.4,122,0.377,0.386,0.447,39,52,9,1,142
Glenn Robinson,SF,23,IND,69,27,1426,11.5,0.225,9.6,4.7,12.8,1.3,1.2,2.5,0.085,0.2,338,0.467,0.392,0.54,245,47,41,20,419
Thomas Robinson,PF,25,LAL,48,1,560,17.3,0.337,21.8,8.8,20.7,0.3,0.6,0.9,0.079,0,196,0.536,0,0.536,223,31,26,9,241
Sergio Rodriguez,PG,30,PHI,68,30,1518,11,0.05,5.7,35.4,19.3,-0.3,1,0.7,0.022,-0.7,536,0.392,0.365,0.478,157,344,48,4,530
Rajon Rondo,PG,30,CHI,69,42,1843,13.6,0.089,10.4,37,17.8,-0.3,2.7,2.3,0.061,1.1,561,0.408,0.376,0.453,355,461,99,11,538
Derrick Rose,PG,28,NYK,64,64,2082,17,0.259,6.4,22.8,25.7,2.4,0.6,3,0.068,0,977,0.471,0.217,0.477,246,283,44,17,1154
Terrence Ross,SF,25,TOT,78,24,1955,13.4,0.103,5.9,7.1,19.3,1.5,2,3.5,0.086,0.9,746,0.437,0.363,0.532,207,88,88,33,858
Terrence Ross,SF,25,TOR,54,0,1207,14.9,0.104,6.5,5.9,19.8,1.6,1.4,2.9,0.116,0.7,479,0.441,0.375,0.541,139,45,54,20,559
Terrence Ross,SF,25,ORL,24,24,748,11.1,0.101,4.9,9,18.5,0,0.6,0.6,0.037,0.1,267,0.431,0.341,0.517,68,43,34,13,299
Terry Rozier,PG,22,BOS,74,0,1263,10.8,0.161,10,15.2,17.1,0,1.4,1.4,0.053,-0.2,411,0.367,0.318,0.437,227,131,45,11,410
Ricky Rubio,PG,26,MIN,75,75,2469,16.8,0.438,7.2,38.9,17.4,4.5,1.7,6.1,0.119,1.7,650,0.402,0.306,0.448,305,682,128,10,836
Damjan Rudez,SF,30,ORL,45,0,314,6.3,0,4.3,9.2,13.6,-0.1,0.2,0.1,0.008,-0.2,88,0.352,0.313,0.466,25,20,12,1,82
Brandon Rush,SG,31,MIN,47,33,1030,6.6,0.096,5.6,5.8,9.6,0.1,0.3,0.4,0.019,0,187,0.374,0.386,0.492,99,45,22,23,197
D'Angelo Russell,PG,20,LAL,63,60,1811,15.3,0.217,6.7,26.8,26.6,0.3,1,1.3,0.034,0.7,867,0.405,0.352,0.483,222,303,87,16,984
Domantas Sabonis,PF,20,OKC,81,66,1632,6.9,0.139,9.7,7.2,15.4,-1,1.8,0.7,0.022,-1.2,481,0.399,0.321,0.452,287,82,39,32,479
Larry Sanders,C,28,CLE,5,0,13,6.5,0.5,17,0,23.6,0,0,0,-0.029,0,4,0.25,,0.25,4,0,1,1,4
Dario Saric,PF,22,PHI,81,36,2129,12.8,0.237,13.3,14.3,24.6,-1.2,2.2,1,0.023,-0.1,927,0.411,0.311,0.468,513,182,57,30,1040
Tomas Satoransky,SG,25,WAS,57,3,719,8.5,0.226,6.5,16.7,12.1,0.1,0.5,0.6,0.041,-0.2,146,0.418,0.243,0.449,83,92,26,6,154
Dennis Schroder,PG,23,ATL,79,78,2485,16.1,0.21,5.5,35.5,27.8,1.2,2.5,3.7,0.071,0.8,1215,0.451,0.34,0.492,248,499,74,16,1414
Luis Scola,PF,36,BRK,36,1,461,13.9,0.245,16,12.7,18.7,0.4,0.4,0.8,0.082,0.1,151,0.47,0.34,0.526,139,37,14,4,184
Mike Scott,PF,28,ATL,18,0,195,5.9,0.136,10.4,12.5,15.8,-0.3,0.2,-0.1,-0.014,-0.2,59,0.288,0.148,0.322,37,17,4,3,45
Thabo Sefolosha,SF,32,ATL,62,42,1596,11.9,0.19,9.3,9.9,13.3,0.6,2.7,3.3,0.098,1.3,395,0.441,0.342,0.492,270,107,96,31,444
Wayne Selden,SG,22,TOT,14,5,236,6.9,0.379,3.8,8.5,15.3,-0.1,0.2,0.1,0.017,-0.2,58,0.431,0.25,0.491,16,13,6,1,71
Wayne Selden,SG,22,NOP,3,3,47,10,0.5,5.6,3,12,0,0,0.1,0.089,0,8,0.625,0.571,0.875,5,1,2,0,16
Wayne Selden,SG,22,MEM,11,2,189,6.2,0.36,3.3,9.9,16.1,-0.1,0.1,0,-0.001,-0.2,50,0.4,0.143,0.43,11,12,4,1,55
Kevin Seraphin,PF,27,IND,49,3,559,14.4,0.111,14.3,6.7,19,0.4,0.6,1,0.082,-0.2,198,0.551,0,0.551,142,23,7,20,232
Ramon Sessions,PG,30,CHO,50,1,811,12.3,0.449,4.9,24.2,20.1,0.3,0.6,0.9,0.054,-0.6,263,0.38,0.339,0.42,73,129,26,3,312
Iman Shumpert,SG,26,CLE,76,31,1937,9,0.184,6.2,7.8,13.9,0.7,1.4,2,0.05,0.3,489,0.411,0.36,0.507,219,109,62,27,567
Pascal Siakam,PF,22,TOR,55,38,859,11.5,0.156,12.2,2.9,13.1,0.4,1.2,1.6,0.089,0.2,205,0.502,0.143,0.505,185,17,26,45,229
Jonathon Simmons,SG,27,SAS,78,8,1392,9.9,0.314,6.5,13.2,18,-0.1,2.1,2,0.068,0,421,0.42,0.294,0.456,160,126,47,25,483
Kyle Singler,SF,28,OKC,32,2,385,5.9,0.205,6.9,3.2,11.2,0,0.3,0.3,0.034,-0.4,83,0.41,0.189,0.452,48,9,7,5,88
Marcus Smart,SG,22,BOS,79,24,2399,12,0.334,7.1,22,18.8,0.5,2.7,3.2,0.064,1,749,0.359,0.283,0.422,306,364,125,34,835
Ish Smith,PG,28,DET,81,32,1955,14.7,0.136,6.6,32.5,20.5,0.9,2.2,3.1,0.076,0.6,749,0.439,0.267,0.458,235,418,61,33,758
J.R. Smith,SG,31,CLE,41,35,1187,8.1,0.042,5.2,7.3,14.6,0.1,0.8,0.8,0.034,0.2,356,0.346,0.351,0.479,113,62,40,11,351
Jason Smith,C,30,WAS,74,3,1068,13.6,0.155,13.6,5,16.7,1,1.3,2.3,0.103,0.2,329,0.529,0.474,0.585,258,37,21,55,420
Tony Snell,SG,25,MIL,80,80,2336,9.7,0.107,6.2,5.9,12.1,2.1,1.3,3.4,0.071,0.7,541,0.455,0.406,0.588,248,96,54,14,683
Marreese Speights,C,29,LAC,82,2,1286,17.6,0.25,16.2,8.1,23.6,2.5,1.7,4.2,0.156,0.9,548,0.445,0.372,0.539,373,66,23,41,711
Tiago Splitter,C,32,PHI,8,0,76,15,0.355,15.9,8.9,23.9,0.1,0.1,0.1,0.072,-0.1,31,0.452,0.333,0.484,22,4,1,1,39
Nik Stauskas,SG,23,PHI,80,27,2188,9,0.237,5.7,12.9,16.4,0.1,1.4,1.4,0.031,-0.2,634,0.396,0.368,0.5,226,188,45,32,756
Lance Stephenson,SG,26,TOT,18,0,361,9.6,0.108,8,24.8,18.7,-0.2,0.2,0.1,0.009,-0.3,120,0.45,0.3,0.475,52,59,5,3,122
Lance Stephenson,SG,26,NOP,6,0,162,10.3,0.145,5.9,27.7,19,0,0.1,0.1,0.028,-0.1,55,0.473,0.1,0.482,18,29,2,1,58
Lance Stephenson,SG,26,MIN,6,0,67,6.6,0.095,8.7,11.2,17.1,-0.1,0,-0.1,-0.045,-0.1,21,0.476,0,0.476,10,5,0,0,21
Lance Stephenson,SG,26,IND,6,0,132,10.3,0.068,10.2,28.1,19.1,-0.1,0.1,0,0.012,-0.1,44,0.409,0.625,0.466,24,25,3,2,43
Jarnell Stokes,C,23,DEN,2,0,7,31.5,2,15.8,40.1,11.4,0.1,0,0.1,0.48,0,1,1,,1,2,2,1,0,3
Diamond Stone,C,19,LAC,7,0,24,-1.2,0.308,14,0,31.3,-0.1,0,-0.1,-0.211,-0.1,13,0.231,,0.231,6,0,0,1,10
Rodney Stuckey,PG,30,IND,39,0,696,9.5,0.439,6.8,17.7,22.2,-0.5,0.4,-0.1,-0.006,-0.7,244,0.373,0.317,0.412,84,84,16,0,281
Jared Sullinger,PF,24,TOR,11,1,118,5.6,0.167,12.9,3.7,21,-0.2,0.1,-0.1,-0.04,-0.2,48,0.313,0.167,0.344,27,3,4,1,37
Edy Tavares,C,24,TOT,2,0,28,21.3,0.6,21.6,5.1,13.2,0,0.1,0.1,0.15,0,5,0.8,,0.8,11,1,0,6,8
Edy Tavares,C,24,ATL,1,0,4,13.1,2,13.7,0,20.5,0,0,0,-0.047,0,1,1,,1,1,0,0,0,2
Edy Tavares,C,24,CLE,1,0,24,22.6,0.25,23,6,12,0,0.1,0.1,0.183,0.1,4,0.75,,0.75,10,1,0,6,6
Isaiah Taylor,PG,22,HOU,4,0,52,0.3,0.286,3.1,7.1,6.4,-0.1,0,0,-0.028,-0.1,7,0.143,0,0.143,3,3,1,1,3
Jeff Teague,PG,28,IND,82,82,2657,19.2,0.457,7,36.4,22.1,5.7,2.4,8.1,0.146,2.6,909,0.442,0.357,0.492,331,639,100,32,1254
Mirza Teletovic,PF,31,MIL,70,2,1133,8.8,0.108,8.3,6.4,19.1,-0.1,0.7,0.6,0.025,-0.8,418,0.373,0.341,0.498,162,48,12,13,451
Garrett Temple,SG,30,SAC,65,21,1728,11.2,0.171,6.1,14.5,14.2,0.9,1.3,2.2,0.062,1,432,0.424,0.373,0.519,183,169,84,28,506
Jason Terry,SG,39,MIL,74,0,1365,9,0.119,4.5,9.9,9.8,1.2,0.9,2.1,0.075,0.3,243,0.432,0.427,0.582,106,98,45,20,307
Isaiah Thomas,PG,27,BOS,76,76,2569,26.5,0.441,4.4,32.6,34,10.9,1.6,12.6,0.235,4.8,1473,0.463,0.379,0.546,205,449,70,13,2199
Lance Thomas,PF,28,NYK,46,15,968,8.4,0.209,7.9,5,13.1,0.6,0.4,0.9,0.046,-0.4,244,0.398,0.447,0.475,142,35,21,5,275
Hollis Thompson,SG,25,TOT,40,9,752,7.9,0.145,8,6.8,13,0.1,0.6,0.7,0.047,-0.2,200,0.385,0.337,0.465,111,35,20,6,205
Hollis Thompson,SG,25,PHI,31,1,561,9,0.126,8.1,7,13.7,0.3,0.4,0.7,0.06,-0.1,159,0.415,0.366,0.497,83,26,14,6,171
Hollis Thompson,SG,25,NOP,9,8,191,4.7,0.22,7.7,6.3,10.9,-0.2,0.2,0,0.007,-0.1,41,0.268,0.25,0.341,28,9,6,0,34
Klay Thompson,SG,26,GSW,78,78,2649,17.4,0.158,5.9,9.3,26.1,4.2,2.9,7.1,0.128,1.5,1376,0.468,0.414,0.565,285,160,66,40,1742
Tristan Thompson,C,25,CLE,78,78,2336,15.3,0.487,16.9,4.6,11.3,5,2.3,7.3,0.15,2.1,437,0.6,0,0.6,716,77,39,84,630
Marcus Thornton,SG,29,WAS,33,1,575,10.4,0.129,7.5,10.1,18.7,0.1,0.4,0.5,0.042,-0.2,210,0.4,0.35,0.467,76,41,19,3,219
Mike Tobey,C,22,CHO,2,0,25,-0.1,0,6.6,5.4,9,0,0,0,-0.07,0,4,0.25,,0.25,3,1,0,0,2
Anthony Tolliver,PF,31,SAC,65,9,1477,11.1,0.234,9.3,7.7,13.6,1.5,0.8,2.3,0.075,0.5,351,0.442,0.391,0.57,239,77,33,20,461
Axel Toupane,SF,24,TOT,4,0,47,6.2,0,1.1,0,8.5,0,0,0.1,0.061,0,9,0.556,0.25,0.611,1,0,1,1,11
Axel Toupane,SF,24,MIL,2,0,6,-9.9,0,0,0,7.6,0,0,0,-0.191,0,1,0,0,0,0,0,0,0,0
Axel Toupane,SF,24,NOP,2,0,41,8.6,0,1.3,0,8.6,0.1,0,0.1,0.098,0,8,0.625,0.333,0.688,1,0,1,1,11
Karl-Anthony Towns,C,21,MIN,82,82,3030,26,0.289,19.4,13.2,27.5,9.9,2.8,12.7,0.201,5.4,1479,0.542,0.367,0.576,1007,220,57,103,2061
P.J. Tucker,SF,31,TOT,81,21,2236,10.5,0.193,11.6,6,11.2,1.4,2.2,3.6,0.078,1.6,482,0.413,0.357,0.485,472,99,116,19,540
P.J. Tucker,SF,31,PHO,57,17,1627,10.6,0.218,11.5,6.1,11.3,1,1.3,2.4,0.07,1.2,354,0.415,0.338,0.48,343,73,85,14,401
P.J. Tucker,SF,31,TOR,24,4,609,10.4,0.125,12,5.9,10.9,0.4,0.9,1.3,0.099,0.5,128,0.406,0.4,0.5,129,26,31,5,139
Evan Turner,SF,28,POR,65,12,1658,11.4,0.187,8.3,18.4,18.5,0,1.2,1.2,0.035,-0.3,552,0.426,0.263,0.454,247,205,53,24,586
Myles Turner,C,20,IND,81,81,2541,18.5,0.349,13,6.6,19.5,4.3,3.7,8,0.151,2.8,869,0.511,0.348,0.534,587,106,74,173,1173
Beno Udrih,PG,34,DET,39,0,560,16.1,0.173,5.6,35.4,19.7,0.8,0.5,1.3,0.111,-0.1,197,0.467,0.344,0.495,57,131,13,0,227
Tyler Ulis,PG,21,PHO,61,15,1123,13,0.162,4.6,30.5,20.3,0.3,0.4,0.7,0.029,-0.6,437,0.421,0.266,0.445,95,226,48,5,444
Jarrod Uthoff,PF,23,DAL,9,0,115,13.9,0.184,11.1,12.8,18.1,0.1,0.1,0.2,0.083,0,38,0.421,0.333,0.461,22,9,2,4,40
Jonas Valanciunas,C,24,TOR,80,80,2066,20.1,0.309,20.8,4.4,19.5,4.9,3,7.9,0.183,0.7,702,0.557,0.5,0.558,759,57,37,63,959
Denzel Valentine,SG,23,CHI,57,0,976,7.3,0.063,8.3,9.3,15.4,-0.5,1.1,0.6,0.031,-0.2,288,0.354,0.351,0.481,151,63,30,7,291
Fred VanVleet,PG,22,TOR,37,0,294,10.5,0.198,8.1,17.5,20.6,-0.1,0.4,0.3,0.041,-0.1,111,0.351,0.379,0.401,42,35,17,2,107
Anderson Varejao,C,34,GSW,14,1,92,9.4,0.786,16.1,13,12.6,0,0.1,0.2,0.097,0,14,0.357,,0.357,27,10,3,3,18
Greivis Vasquez,PG,30,BRK,3,0,39,4.1,0.375,2.7,17.5,11.3,0,0,0,-0.006,-0.1,8,0.25,0.333,0.313,2,5,1,1,7
Rashad Vaughn,SG,20,MIL,41,2,458,7.8,0.032,6.2,7.4,17.2,-0.5,0.4,0,-0.005,-0.3,156,0.365,0.321,0.449,49,23,19,10,142
Noah Vonleh,PF,21,POR,74,41,1265,10.8,0.348,17,3.4,13.1,0.6,1.2,1.8,0.069,-0.6,270,0.481,0.35,0.494,387,31,30,27,327
Nikola Vucevic,C,26,ORL,75,55,2163,19.1,0.155,19.6,16.9,24.8,0.8,3.2,4,0.088,1.7,1031,0.468,0.307,0.48,779,208,77,74,1096
Sasha Vujacic,SG,32,NYK,42,4,408,8.6,0.176,7.8,17.9,17.3,-0.1,0.2,0.1,0.014,-0.2,136,0.309,0.311,0.393,59,52,13,2,124
Dwyane Wade,SG,35,CHI,60,59,1792,18.5,0.294,8.2,22.4,29.6,0.9,2.5,3.4,0.09,1.4,955,0.434,0.31,0.457,271,229,86,41,1096
Dion Waiters,SG,25,MIA,46,43,1384,14.5,0.192,6.2,23.8,26.3,0.2,1.5,1.6,0.057,0.4,663,0.424,0.395,0.488,154,200,41,20,729
Kemba Walker,PG,26,CHO,79,79,2739,21.3,0.248,6.2,29.1,29.2,5.9,2.2,8.1,0.142,3.9,1449,0.444,0.399,0.527,308,435,85,22,1830
John Wall,PG,26,WAS,78,78,2836,23.2,0.367,6.5,46.9,30.6,5.7,3,8.8,0.148,4.3,1435,0.451,0.327,0.482,326,831,157,49,1805
Taurean Waller-Prince,SF,22,ATL,59,10,981,9.8,0.33,8.8,8.4,17.2,-0.4,1.5,1.1,0.054,-0.1,285,0.4,0.324,0.458,157,55,43,27,335
T.J. Warren,SF,23,PHO,66,59,2048,15.6,0.189,9,5.8,19.2,3,1.1,4.1,0.096,0.9,814,0.495,0.265,0.511,339,75,76,39,951
C.J. Watson,PG,32,ORL,62,9,1012,9.3,0.266,4.8,16.1,14.1,0.2,0.6,0.9,0.041,-0.4,248,0.387,0.305,0.452,89,114,43,2,281
Briante Weber,PG,24,TOT,20,0,205,11,0.267,7,15,16.3,0,0.2,0.3,0.059,-0.1,60,0.417,0.1,0.425,26,21,12,1,62
Briante Weber,PG,24,GSW,7,0,46,5.9,0.214,4.8,13.9,17.2,-0.1,0.1,0,-0.018,0,14,0.357,0,0.357,4,5,3,1,12
Briante Weber,PG,24,CHO,13,0,159,12.5,0.283,7.6,15.4,16.1,0.1,0.2,0.3,0.081,0,46,0.435,0.143,0.446,22,16,9,0,50
David West,C,36,GSW,68,0,854,16.6,0.222,13,24.1,17.9,0.9,1.7,2.6,0.148,0.9,252,0.536,0.375,0.542,203,151,42,48,316
Russell Westbrook,PG,28,OKC,81,81,2802,30.6,0.433,17.1,57.3,41.7,8.5,4.6,13.1,0.224,12.4,1941,0.425,0.343,0.476,864,840,133,31,2558
Okaro White,PF,24,MIA,35,0,471,7.5,0.253,9.6,6,10.8,0.1,0.5,0.6,0.066,0,87,0.379,0.353,0.448,82,21,10,10,98
Isaiah Whitehead,PG,21,BRK,73,26,1643,7.5,0.222,5.9,17.7,18.2,-1.7,0.9,-0.8,-0.023,-1.2,508,0.402,0.295,0.445,184,192,42,36,543
Hassan Whiteside,C,27,MIA,77,77,2513,22.6,0.368,24,3.8,22.7,4.2,5.3,9.5,0.181,0.9,973,0.557,,0.557,1088,57,56,161,1309
Andrew Wiggins,SF,21,MIN,82,82,3048,16.5,0.345,6.3,10.6,29,3.3,0.9,4.2,0.066,-0.6,1570,0.452,0.356,0.484,329,189,82,30,1933
C.J. Wilcox,SG,26,ORL,22,0,108,2.9,0.065,6,15.5,15.4,-0.2,0,-0.2,-0.09,-0.2,31,0.258,0.2,0.306,12,12,2,1,21
Alan Williams,C,24,PHO,47,0,708,19.5,0.419,22.4,5.2,20.9,1.1,0.9,2.1,0.142,0.1,267,0.517,0,0.517,292,23,27,32,346
Deron Williams,PG,32,TOT,64,44,1657,14,0.182,5.1,35.9,22.1,1.5,0.9,2.4,0.069,-0.1,600,0.438,0.363,0.509,147,360,31,8,701
Deron Williams,PG,32,DAL,40,40,1171,15,0.185,5.1,40.1,23.7,1.1,0.7,1.8,0.073,0.2,453,0.43,0.348,0.5,102,274,25,2,522
Deron Williams,PG,32,CLE,24,4,486,11.4,0.17,5.1,25.9,18.1,0.4,0.2,0.6,0.059,-0.3,147,0.463,0.415,0.537,45,86,6,6,179
Derrick Williams,PF,25,TOT,50,11,804,10.6,0.365,8.9,5.1,17.2,0.4,0.6,1.1,0.064,-0.4,244,0.443,0.309,0.504,130,28,14,7,304
Derrick Williams,PF,25,MIA,25,11,377,10.1,0.365,10.7,5.6,20.4,-0.1,0.4,0.3,0.038,-0.3,137,0.394,0.2,0.427,73,14,9,5,148
Derrick Williams,PF,25,CLE,25,0,427,11.1,0.364,7.4,4.7,14.4,0.6,0.2,0.8,0.086,-0.1,107,0.505,0.404,0.603,57,14,5,2,156
Lou Williams,SG,30,TOT,81,1,1994,21.4,0.458,5.5,19.9,29.1,5.1,1,6.1,0.147,1.4,998,0.429,0.365,0.511,202,239,80,19,1421
Lou Williams,SG,30,LAL,58,1,1403,23.9,0.469,5.1,22.3,30.6,4.3,0.6,4.9,0.169,1.5,734,0.444,0.385,0.527,132,183,65,10,1078
Lou Williams,SG,30,HOU,23,0,591,15.4,0.428,6.5,14.3,25.3,0.8,0.4,1.2,0.096,-0.1,264,0.386,0.318,0.464,70,56,15,9,343
Marvin Williams,PF,30,CHO,76,76,2295,13.7,0.213,11.9,7.1,16.3,2.4,2.6,5,0.105,1.3,704,0.422,0.35,0.51,498,106,58,53,849
Reggie Williams,SF,30,NOP,6,0,79,11.7,0.304,4,7.2,14.6,0.1,0.1,0.2,0.098,0,23,0.348,0.455,0.457,6,4,3,0,27
Troy Williams,SF,22,TOT,30,16,557,8.9,0.192,7,7,17.2,-0.4,0.7,0.3,0.03,-0.1,167,0.437,0.29,0.491,69,25,27,10,185
Troy Williams,SF,22,MEM,24,13,418,7.6,0.203,6.2,7.2,17.5,-0.6,0.6,0,0.001,-0.1,123,0.415,0.244,0.455,45,19,24,9,127
Troy Williams,SF,22,HOU,6,3,139,12.8,0.159,9.4,6.4,16.2,0.2,0.1,0.3,0.116,0,44,0.5,0.381,0.591,24,6,3,1,58
Kyle Wiltjer,PF,24,HOU,14,0,44,6.7,0.143,12.4,6.1,19.1,-0.1,0.1,0,-0.039,0,14,0.286,0.308,0.429,10,2,3,1,13
Justise Winslow,SF,20,MIA,18,15,625,8.2,0.209,8.3,15.5,19.8,-0.9,0.8,-0.1,-0.008,-0.1,225,0.356,0.2,0.371,94,66,27,6,196
Jeff Withey,C,26,UTA,51,1,432,18.8,0.466,16.2,2.5,14.9,1,0.9,1.8,0.205,0.4,103,0.534,0,0.534,121,7,16,32,146
Christian Wood,PF,21,CHO,13,0,107,15.1,0.652,14.9,2.8,15.4,0.1,0.1,0.3,0.125,0,23,0.522,0,0.522,29,2,3,6,35
Metta World,SF,37,LAL,25,2,160,6.2,0.235,6.8,9.8,21.9,-0.3,0.1,-0.2,-0.065,-0.2,68,0.279,0.237,0.346,20,11,9,2,57
Brandan Wright,PF,29,MEM,28,5,447,18.5,0.259,10,6,16.3,1.1,0.5,1.6,0.177,0.4,135,0.615,0,0.615,78,15,11,20,189
Delon Wright,PG,24,TOR,27,0,446,15,0.474,6.1,18.2,16.6,0.5,0.6,1.1,0.117,0.4,116,0.422,0.333,0.466,48,57,27,11,150
James Young,SG,21,BOS,29,0,220,10,0.155,6.6,2.6,13.3,0.1,0.2,0.3,0.076,-0.1,58,0.431,0.343,0.534,26,4,10,2,68
Joe Young,PG,24,IND,33,0,135,11.4,0.208,7.1,18,27.8,-0.2,0.1,-0.1,-0.022,-0.2,72,0.361,0.217,0.396,17,15,4,0,68
Nick Young,SG,31,LAL,60,60,1556,14.1,0.142,4.8,5.8,19.5,3,0.2,3.2,0.098,0.5,633,0.43,0.404,0.564,137,58,37,14,791
Thaddeus Young,PF,28,IND,74,74,2237,14.9,0.125,11.3,8.4,16.5,1.9,2.7,4.6,0.099,2,687,0.527,0.381,0.56,449,122,114,30,814
Cody Zeller,PF,24,CHO,62,58,1725,16.7,0.442,12.9,9.1,15.5,3.4,2.2,5.6,0.157,1.8,443,0.571,0,0.571,405,99,62,58,639
Tyler Zeller,C,27,BOS,51,5,525,13,0.247,13.2,12.2,16.5,0.5,0.6,1,0.094,-0.1,158,0.494,0,0.494,124,42,7,21,178
Stephen Zimmerman,C,20,ORL,19,0,108,7.3,0.161,17.6,5.3,14.8,-0.1,0.1,0,-0.005,-0.1,31,0.323,,0.323,35,4,2,5,23
Paul Zipser,SF,22,CHI,44,18,843,6.9,0.181,8,6.1,14.4,-0.3,0.8,0.5,0.03,-0.4,221,0.398,0.333,0.473,125,36,15,16,240
Ivica Zubac,C,19,LAL,38,11,609,17,0.206,14.3,8.1,20.3,0.6,0.5,1.1,0.086,-0.1,238,0.529,0,0.529,159,30,14,33,284